RTX 3090,Ryzen TR 2990WX,"100,000",16,32,32,Unraid 6.12.8,2.1.4.giga30,0.217,A_Hale,PCIe 3
RTX 3090,Ryzen TR 2990WX,"200,000",16,32,33,Unraid 6.12.8,2.1.4.giga30,0.094,A_Hale,PCIe 3
RTX 3090,Ryzen 5950x,"20,000",8,32,30,Windows 10,2.1.4.giga30,0.880,toldi,PCIe 4
RTX 3090,Ryzen 5950x,"50,000",8,32,31,Windows 10,2.1.4.giga30,0.477,toldi,PCIe 4
RTX 3090,Ryzen 5950x,"100,000",8,32,32,Windows 10,2.1.4.giga30,0.212,toldi,PCIe 4
RTX 3090,Ryzen 5950x,"200,000",8,32,33,Windows 10,2.1.4.giga30,0.096,toldi,PCIe 4
RTX 3060,Ryzen 5 4500,"20,000",8,32,30,Ubuntu 22.04,2.1.4.giga30,0.363,toldi,PCIe 3@160W
RTX 3060,Ryzen 5 4500,"50,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.198,toldi,PCIe 3@160W
RTX 3060,Ryzen 5 4500,"100,000",8,32,32,Ubuntu 22.04,2.1.4.giga30,0.094,toldi,PCIe 3@160W
RTX 3060,2 x E5-2697 v2,"50,000",8,32,31,Debian 12,2.1.4.giga30,0.184,ericgr3gory,debian 12 hosted on promox with gpu passed through
RTX 3060,2 x E5-2697 v2,"20,000",8,32,30,Debian 12,2.1.4.giga30,0.342,ericgr3gory,debian 12 hosted on promox with gpu passed through
RTX 2070,i7-8700,"50,000",16,32,31,Windows 11 23H2,2.1.4.giga30,0.159,Nokkan,
RTX 2070,i7-8700,"50,000",8,32,31,Windows 11 23H2,2.1.4.giga30,0.160,Nokkan,
RTX 2070,i7-8700,"50,000",8,32,30,WIndows 11 23H2,2.1.4.giga30,0.289,Nokkan,
RTX 2070,i7-8700,"20,000",8,32,30,WIndows 11 23H2,2.1.4.giga30,0.283,Nokkan,
RTX 3070,5600X,"20,000",8,32,31,WIndows 11 23H2,2.1.4.giga30,0.286,Sire87,
RTX 3070,5600X,"50,000",8,32,31,WIndows 11 23H2,2.1.4.giga30,0.297,Sire87,
RTX 3090,EPYC 7302P,"20,000",8,32,31,Windows Server 2022,2.1.4.giga30,0.485,Sire87,
RTX 3090,EPYC 7302P,"50,000",8,32,31,Windows Server 2022,2.1.4.giga30,0.501,Sire87,
RTX 3090,EPYC 7302P,"100,000",8,32,32,Windows Server 2022,2.1.4.giga30,0.232,Sire87,
RTX 3090,EPYC 7302P,"800,000",8,32,32,Windows Server 2022,2.1.4.giga30,0.244,Sire87,
RTX 3090,EPYC 7302P,"200,000",8,32,33,Windows Server 2022,2.1.4.giga30,0.101,Sire87,
RTX 3070,i7-8700,"50,000",8,32,31,Unraid - Docker,2.1.4.giga30,0.294,Darknebula,
RTX 3090,Ryzen 5900X,"20,000",8,32,30,Windows 11 Pro 22H2,2.1.4.giga30,0.873,CS,PCIe 4
RTX 3090,Ryzen 5900X,"50,000",8,32,30,Windows 11 Pro 22H2,2.1.4.giga30,0.831,CS,PCIe 4
RTX 3090,Ryzen 5900X,"20,000",8,32,31,Windows 11 Pro 22H2,2.1.4.giga30,0.457,CS,PCIe 4
RTX 3090,Ryzen 5900X,"50,000",8,32,31,Windows 11 Pro 22H2,2.1.4.giga30,0.484,CS,PCIe 4
RTX 3060,i5 8800K,"20,000",16,32,30,Ubuntu,2.1.4.giga31,0.39,DrInksalot,
RTX 3060,i5 8800K,"20,000",16,32,30,Ubuntu,2.1.4.giga31,0.301,DrInksalot,100W power limit
RTX 3060,E5-2698v4,"10,000",,32,30,Ubuntu 23.10,2.1.4.giga31,0.309,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"10,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.145,DomoKitty,100W power limit
RTX 3060,E5-2698v4,"10,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.159,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.164,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"50,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.173,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"10,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.167,DomoKitty,140W power limit
RTX 3060,E5-2698v4,"10,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.176,DomoKitty,170W (default)
RTX 3060,E5-2698v4,"20,000",,32,32,Ubuntu 23.10,2.1.4.giga31,0.078,DomoKitty,170W (default)
RTX 3060,E5-2698v4,"20,000",,32,32,Ubuntu 23.10,2.1.4.giga31,0.070,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"100,000",,32,32,Ubuntu 23.10,2.1.4.giga31,0.084,DomoKitty,170W (default)
RTX 3060,E5-2698v4,"100,000",,32,32,Ubuntu 23.10,2.1.4.giga31,0.078,DomoKitty,120W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,30,Ubuntu 23.10,2.1.4.giga31,0.391,DomoKitty,100W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,30,Ubuntu 23.10,2.1.4.giga31,0.460,DomoKitty,120W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,30,Ubuntu 23.10,2.1.4.giga31,0.495,DomoKitty,140W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,30,Ubuntu 23.10,2.1.4.giga31,0.534,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,30,Ubuntu 23.10,2.1.4.giga31,0.564,DomoKitty,220W (default)
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.201,DomoKitty,100W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.239,DomoKitty,120W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.257,DomoKitty,140W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.279,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"20,000",,32,31,Ubuntu 23.10,2.1.4.giga31,0.294,DomoKitty,220W (default)
RTX 3060,E5-2698v4,633,,32,29,Ubuntu 23.10,2.1.4.giga32,0.42,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"2,500",,32,29,Ubuntu 23.10,2.1.4.giga32,0.496,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.539,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.574,DomoKitty,170W default power
RTX 3060,E5-2698v4,"2,500",,32,30,Ubuntu 23.10,2.1.4.giga32,0.277,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"10,000",,32,30,Ubuntu 23.10,2.1.4.giga32,0.331,DomoKitty,120W power limit
RTX 3060,E5-2698v4,"50,000",,32,30,Ubuntu 23.10,2.1.4.giga32,0.341,DomoKitty,120W power limit
RTX 3070,Ryzen 7800X3D,633,,32,29,Ubuntu 23.10,2.1.4.giga32,0.704,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"2,500",,32,29,Ubuntu 23.10,2.1.4.giga32,0.848,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.922,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.695,DomoKitty,100W power limit
RTX 3070,Ryzen 7800X3D,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.801,DomoKitty,120W power limit
RTX 3070,Ryzen 7800X3D,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.855,DomoKitty,140W power limit
RTX 3070,Ryzen 7800X3D,"10,000",,32,29,Ubuntu 23.10,2.1.4.giga32,0.969,DomoKitty,220W default power
RTX 3070,Ryzen 7800X3D,"50,000",,32,30,Ubuntu 23.10,2.1.4.giga32,0.615,DomoKitty,220W default power
RTX 3070,Ryzen 7800X3D,"20,000",,32,30,Ubuntu 23.10,2.1.4.giga32,0.577,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"10,000",,32,30,Ubuntu 23.10,2.1.4.giga32,0.561,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"2,500",,32,30,Ubuntu 23.10,2.1.4.giga32,0.468,DomoKitty,175W power limit
RTX 3070,Ryzen 7800X3D,"2,500",,32,30,Ubuntu 23.10,2.1.4.giga32,0.403,DomoKitty,120W power limit
RTX 3060 Ti,2X E5-2696v2,"2,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.164,iJey,Supermicro X9DR3/i-F
RTX 3060 Ti,2X E5-2696v2,"20,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.228,iJey,Supermicro X9DR3/i-F
RTX 3060 Ti,2X E5-2696v2,"50,000",8,32,31,Ubuntu 22.04,2.1.4.giga30,0.241,iJey,Supermicro X9DR3/i-F
RTX 3060 Ti,2X E5-2696v2,"100,000",48,32,31,Ubuntu 22.04,2.1.4.giga30,0.245,iJey,Supermicro X9DR3/i-F || -r 8 = 0.2446 || -r 48 = 0.2458
RTX 3080 Ti,2X E5-2696v2,"2,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.288,iJey,Supermicro X9DR3-LNF4+
RTX 3080 Ti,2X E5-2696v2,"20,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.430,iJey,Supermicro X9DR3-LNF4+ || DEF-0.41 == +C150 = 0.43 == = PL80-C+200-280W-0.41
RTX 3080 Ti,2X E5-2696v2,"50,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.460,iJey,Supermicro X9DR3-LNF4+  || PL90- C+150- 300W-0.448 == PL80-C+200-280W-0.43 ==
RTX 3080 Ti,2X E5-2696v2,"100,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.451,iJey,Supermicro X9DR3-LNF4+  || PL80-C+200-280W-0.44
RTX 3080 Ti,2X E5-2696v2,"800,000",8,32,31,Windows Server 2019,2.1.4.giga30,0.460,iJey,Supermicro X9DR3-LNF4+
2 x RTX 6000 Ada,TR Pro 5975WX,"20,000",16,32,30,Ubuntu 22.04,2.1.4.giga31,2.160,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"800,000",16,32,30,Ubuntu 22.04,2.1.4.giga31,2.340,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"50,000",16,32,31,Ubuntu 22.04,2.1.4.giga31,1.139,iQuit,Dell Precision T7865
2 x RTX 6000 Ada,TR Pro 5975WX,"800,000",16,32,31,Ubuntu 22.04,2.1.4.giga31,1.142,iQuit,Dell Precision T7865
